iter	RMSE
0	0.073687863
1	0.07205198499
2	0.07049287241
3	0.06898400804
4	0.06752973669
5	0.06607248434
6	0.06467166935
7	0.06330640546
8	0.06197957088
9	0.06074366801
10	0.05951372012
11	0.0583244081
12	0.05718837927
13	0.05608535071
14	0.05504705143
15	0.05397801742
16	0.05299269125
17	0.05200896083
18	0.05102299511
19	0.0500548443
20	0.04913178363
21	0.04828144467
22	0.04746120751
23	0.04661161752
24	0.04580678176
25	0.04502785359
26	0.04424087255
27	0.04353113942
28	0.04289004094
29	0.04220814407
30	0.04152541808
31	0.04087964603
32	0.04021415652
33	0.03958120162
34	0.03896440862
35	0.03837803493
36	0.03779113468
37	0.03722032342
38	0.03668774987
39	0.03614753611
40	0.03559764275
41	0.03508893738
42	0.03461202168
43	0.0341364123
44	0.03368298065
45	0.03319807652
46	0.03277759374
47	0.03232812065
48	0.03191391357
49	0.03150268349
50	0.03108019558
51	0.03069688927
52	0.03031385259
53	0.02995507889
54	0.02960239452
55	0.02927759913
56	0.02890599127
57	0.02857324372
58	0.02824721511
59	0.02792688544
60	0.02759513922
61	0.02727252486
62	0.02700007552
63	0.02671066196
64	0.02638975618
65	0.0260894469
66	0.0258008584
67	0.02553559287
68	0.02527123892
69	0.02501644296
70	0.02474402374
71	0.0244781763
72	0.02425399471
73	0.02399567903
74	0.02377045161
75	0.02355228089
76	0.02334044471
77	0.02312961253
78	0.02292741917
79	0.02272907445
80	0.0225434144
81	0.02235879215
82	0.02218003809
83	0.02197501831
84	0.02178911424
85	0.02158876901
86	0.02142754462
87	0.02123332818
88	0.02107816711
89	0.02091863661
90	0.02078547568
91	0.02065138379
92	0.02047779953
93	0.02031791007
94	0.0201467582
95	0.02000749847
96	0.01987414912
97	0.01970574808
98	0.01958306287
99	0.01942580719
