iter	Passed	Remaining
464	772	888
465	773	886
466	775	884
467	776	882
468	778	881
469	780	879
470	781	878
471	783	876
472	784	874
473	786	872
474	787	870
475	789	869
476	791	867
477	794	867
478	796	866
479	798	865
480	800	863
481	802	861
482	803	860
483	805	858
484	806	856
485	808	854
486	809	853
487	811	851
488	812	849
489	814	847
490	815	845
491	817	843
492	818	841
493	820	840
494	821	838
495	824	837
496	825	835
497	827	834
498	829	832
499	830	830
500	832	829
501	833	827
502	835	825
503	836	823
504	838	821
505	839	820
506	841	818
507	842	816
508	844	814
509	845	812
510	847	810
511	848	809
512	850	807
513	852	805
514	853	803
515	855	802
516	856	800
517	858	798
518	859	796
519	861	794
520	862	792
521	863	791
522	865	789
523	867	787
524	868	786
525	870	784
526	871	782
527	873	780
528	874	778
529	876	777
530	877	775
531	879	773
532	880	771
533	882	770
534	883	768
535	885	766
536	887	764
537	888	762
538	889	761
539	892	760
540	893	758
541	895	756
542	897	754
543	898	753
544	900	751
545	901	749
546	902	747
547	904	745
548	906	744
549	907	742
550	909	740
551	910	739
552	912	737
553	914	735
554	915	734
555	917	732
556	918	730
557	920	728
558	921	727
559	923	725
560	924	723
561	926	722
562	944	732
563	945	730
564	947	729
565	948	727
566	949	725
567	951	723
568	952	721
569	954	719
570	955	718
571	957	716
572	958	714
573	960	713
574	962	711
575	964	710
576	966	708
577	967	706
578	969	704
579	970	702
580	972	701
581	973	699
582	975	697
583	976	695
584	978	694
585	979	692
586	981	690
587	982	688
588	984	686
589	985	685
590	987	683
591	988	681
592	990	679
593	992	678
594	993	676
595	995	674
596	996	672
597	998	670
598	999	669
599	1000	667
600	1004	666
601	1006	665
602	1008	663
603	1009	662
604	1011	660
605	1013	659
606	1016	658
607	1017	656
608	1019	654
609	1021	652
610	1022	651
611	1024	649
612	1025	647
613	1027	645
614	1028	643
615	1030	642
616	1031	640
617	1033	638
618	1034	636
619	1036	635
620	1037	633
621	1039	631
622	1040	629
623	1042	628
624	1043	626
625	1045	624
626	1046	622
627	1048	620
628	1049	619
629	1051	617
630	1052	615
631	1054	613
632	1055	612
633	1057	610
634	1058	608
635	1060	606
636	1061	605
637	1063	603
638	1064	601
639	1066	599
640	1067	598
641	1069	596
642	1070	594
643	1072	592
644	1074	591
645	1075	589
646	1077	587
647	1079	586
648	1080	584
649	1081	582
650	1083	580
651	1085	579
652	1086	577
653	1088	575
654	1089	573
655	1091	572
656	1092	570
657	1094	569
658	1097	567
659	1099	566
660	1100	564
661	1102	562
662	1103	560
663	1104	559
664	1106	557
665	1108	555
666	1109	554
667	1111	552
668	1112	550
669	1114	548
670	1115	546
671	1117	545
672	1118	543
673	1120	541
674	1121	540
675	1123	538
676	1124	536
677	1126	534
678	1127	533
679	1129	531
680	1130	529
681	1131	527
682	1133	526
683	1134	524
684	1136	522
685	1138	521
686	1140	519
687	1142	518
688	1145	516
689	1147	515
690	1149	513
691	1151	512
692	1153	511
693	1156	509
694	1158	508
695	1160	506
696	1162	505
697	1164	503
698	1166	502
699	1168	500
700	1170	499
701	1172	497
702	1175	496
703	1177	495
704	1179	493
705	1181	492
706	1183	490
707	1185	488
708	1187	487
709	1188	485
710	1190	483
711	1191	481
712	1193	480
713	1194	478
714	1196	476
715	1197	475
716	1199	473
717	1200	471
718	1202	469
719	1203	468
720	1205	466
721	1206	464
722	1208	462
723	1209	461
724	1211	459
725	1212	457
726	1214	456
727	1215	454
728	1217	452
729	1218	450
730	1220	449
731	1221	447
732	1223	445
733	1224	443
734	1226	442
735	1228	440
736	1230	439
737	1232	437
738	1234	435
739	1235	434
740	1237	432
741	1238	430
742	1240	429
743	1242	427
744	1243	425
745	1244	423
746	1246	422
747	1247	420
748	1249	418
749	1250	416
750	1252	415
751	1253	413
752	1255	411
753	1256	410
754	1258	408
755	1259	406
756	1261	404
757	1262	403
758	1264	401
759	1265	399
760	1267	398
761	1268	396
762	1270	394
763	1272	393
764	1274	391
765	1275	389
766	1277	387
767	1278	386
768	1280	384
769	1281	382
770	1283	381
771	1284	379
772	1286	377
773	1287	376
774	1289	374
775	1290	372
776	1292	370
777	1293	369
778	1295	367
779	1296	365
780	1298	364
781	1300	362
782	1301	360
783	1302	358
784	1304	357
785	1306	355
786	1307	353
787	1309	352
788	1310	350
789	1312	348
790	1313	347
791	1314	345
792	1316	343
793	1318	341
794	1319	340
795	1321	338
796	1322	336
797	1324	335
798	1325	333
799	1326	331
800	1328	330
801	1329	328
802	1331	326
803	1332	324
804	1334	323
805	1335	321
806	1337	319
807	1338	318
808	1340	316
809	1341	314
810	1343	312
811	1344	311
812	1345	309
813	1347	307
814	1349	306
815	1350	304
816	1352	302
817	1353	301
818	1354	299
819	1356	297
820	1358	296
821	1359	294
822	1361	292
823	1363	291
824	1365	289
825	1367	288
826	1369	286
827	1370	284
828	1372	283
829	1373	281
830	1375	279
