iter	RMSE
0	41.79209767
1	41.77286259
2	41.73593431
3	41.6986516
4	41.67428001
5	41.64188438
6	41.60824125
7	41.56763177
8	41.53140457
9	41.5154422
10	41.48632213
11	41.43554952
12	41.41012532
13	41.38568252
14	41.36490567
15	41.33107448
16	41.27775709
17	41.22453132
18	41.18716472
19	41.15768514
20	41.12514315
21	41.0994832
22	41.07248173
23	41.04046232
24	41.0239797
25	40.98841797
26	40.95332264
27	40.92576527
28	40.89475835
29	40.85819551
30	40.81935645
31	40.78838334
32	40.76460646
33	40.74313563
34	40.72153439
35	40.68349993
36	40.66357654
37	40.62994366
38	40.58820784
39	40.54250273
40	40.51811481
41	40.47013225
42	40.44179717
43	40.41567842
44	40.39119332
45	40.36525397
46	40.33125958
47	40.30786975
48	40.27498076
49	40.24066404
50	40.2189936
51	40.19455487
52	40.15670514
53	40.13630042
54	40.10270676
55	40.06918743
56	40.03538129
57	40.00990971
58	39.99171377
59	39.95152585
60	39.92359173
61	39.89261541
62	39.85790268
63	39.81998307
64	39.77947155
65	39.74423741
66	39.70054776
67	39.67377248
68	39.63879536
69	39.60458474
70	39.5785301
71	39.54469331
72	39.51476772
73	39.49538704
74	39.46956412
75	39.43747855
76	39.42631849
77	39.42298088
78	39.39982809
79	39.36063778
80	39.33779618
81	39.31785155
82	39.28968753
83	39.25959485
84	39.21963004
85	39.18770521
86	39.16449133
87	39.14314084
88	39.11641903
89	39.09168518
90	39.05998438
91	39.0310253
92	39.01392981
93	38.99114863
94	38.97268633
95	38.92443051
96	38.89618835
97	38.86629358
98	38.83103563
99	38.81026919
100	38.77391112
101	38.74329786
102	38.71376204
103	38.68189255
104	38.64910371
105	38.6098425
106	38.58504127
107	38.55626591
108	38.52484809
109	38.50685464
110	38.48390628
111	38.46566817
112	38.4508019
113	38.42330596
114	38.38150942
115	38.34424473
116	38.32242919
117	38.29985779
118	38.28507967
119	38.25931432
120	38.24616616
121	38.20712956
122	38.18372174
123	38.15038377
124	38.11245769
125	38.07975632
126	38.05745709
127	38.03537243
128	38.00561204
129	37.98533873
130	37.95564636
131	37.93996403
132	37.918458
133	37.90735991
134	37.88254172
135	37.85605459
136	37.84140412
137	37.81890297
138	37.78287619
139	37.77295551
140	37.75020351
141	37.72806342
142	37.68808147
143	37.671981
144	37.64276415
145	37.60908839
146	37.58419275
147	37.5672796
148	37.5472618
149	37.52648511
150	37.50636004
151	37.47801
152	37.45939721
