iter	Passed	Remaining
401	18567	14733
402	18612	14686
403	18656	14639
404	18701	14591
405	18746	14545
406	18791	14497
407	18836	14450
408	18881	14403
409	18929	14359
410	18996	14328
411	19050	14287
412	19096	14241
413	19141	14194
414	19186	14147
415	19231	14099
416	19277	14053
417	19324	14007
418	19369	13960
419	19414	13913
420	19461	13868
421	19506	13821
422	19552	13774
423	19599	13728
424	19648	13684
425	19696	13639
426	19741	13592
427	19784	13544
428	19828	13496
429	19873	13449
430	19916	13400
431	19960	13353
432	20004	13305
433	20069	13271
434	20126	13232
435	20169	13184
436	20215	13137
437	20259	13090
438	20304	13042
439	20348	12995
440	20392	12947
441	20435	12899
442	20477	12850
443	20524	12804
444	20567	12756
445	20611	12708
446	20654	12660
447	20699	12613
448	20743	12566
449	20787	12518
450	20831	12471
451	20875	12423
452	20919	12376
453	20963	12328
454	21006	12281
455	21053	12234
456	21098	12187
457	21169	12156
458	21215	12109
459	21257	12061
460	21302	12014
461	21346	11966
462	21391	11919
463	21435	11872
464	21477	11824
465	21522	11777
466	21565	11729
467	21608	11681
468	21653	11634
469	21697	11587
470	21740	11539
471	21784	11492
472	21827	11444
473	21872	11397
474	21916	11350
475	21959	11302
476	22003	11255
477	22049	11209
478	22096	11163
479	22140	11116
480	22187	11070
481	22255	11035
482	22301	10989
483	22345	10941
484	22390	10895
485	22435	10848
486	22479	10801
487	22522	10753
488	22567	10706
489	22611	10659
490	22654	10612
491	22699	10565
492	22744	10518
493	22788	10471
494	22832	10424
495	22876	10377
496	22919	10329
497	22963	10282
498	23009	10236
499	23055	10190
500	23100	10143
501	23143	10096
502	23190	10050
503	23234	10003
504	23307	9969
505	23354	9923
506	23400	9877
507	23443	9829
508	23486	9782
509	23530	9735
510	23573	9687
511	23616	9640
512	23662	9594
513	23722	9553
514	23768	9507
515	23812	9460
516	23855	9413
517	23900	9366
518	23946	9320
519	23989	9273
520	24033	9226
521	24079	9179
522	24122	9132
523	24166	9085
524	24213	9039
525	24260	8993
526	24304	8946
527	24373	8909
528	24422	8864
529	24467	8817
530	24511	8770
531	24554	8723
532	24599	8676
533	24642	8629
534	24686	8582
535	24731	8535
536	24776	8489
537	24820	8442
538	24863	8395
539	24907	8348
540	24950	8301
541	24994	8254
542	25038	8207
543	25082	8160
544	25125	8113
545	25176	8069
546	25219	8022
547	25263	7975
548	25309	7929
549	25352	7882
550	25403	7837
551	25470	7797
552	25513	7750
553	25555	7703
554	25599	7656
555	25643	7610
556	25688	7563
557	25731	7516
558	25775	7469
559	25820	7423
560	25863	7376
561	25907	7329
562	25953	7283
563	25997	7236
564	26042	7190
565	26086	7143
566	26129	7096
567	26175	7050
568	26219	7004
569	26263	6957
570	26308	6911
571	26353	6864
572	26396	6817
573	26440	6771
574	26493	6727
575	26560	6686
576	26603	6639
577	26647	6592
578	26691	6546
579	26735	6499
580	26779	6452
581	26823	6406
582	26867	6359
