iter	RMSE
0	42.25691192
1	42.21386371
2	42.18259623
3	42.14049587
4	42.11636107
5	42.07787238
6	42.02773034
7	41.99108723
8	41.96585633
9	41.92320191
10	41.89007961
11	41.86396545
12	41.8144538
13	41.77453556
14	41.73203651
15	41.7046864
16	41.66796212
17	41.6265474
18	41.57291794
19	41.53411925
20	41.49833242
21	41.47358402
22	41.44842585
23	41.40877035
24	41.36941763
25	41.32435893
26	41.27356382
27	41.22993735
28	41.18698815
29	41.14033415
30	41.09432023
31	41.0592534
32	41.0177442
33	40.97414307
34	40.93157041
35	40.89751362
36	40.86696671
37	40.81716656
38	40.78729629
39	40.7480123
40	40.70111516
41	40.66648013
42	40.62720889
43	40.59296346
44	40.55100054
45	40.52908774
46	40.47723495
47	40.44083239
48	40.41005189
49	40.38117807
50	40.34962992
51	40.32424314
52	40.28773896
53	40.24925508
54	40.22424757
55	40.18482724
56	40.14976543
57	40.11046848
58	40.06858849
59	40.03164017
60	39.98572818
61	39.95199391
62	39.90879317
63	39.86147501
64	39.82567238
65	39.78908315
66	39.74772495
67	39.70648341
68	39.67302309
69	39.64049706
70	39.60610738
71	39.56960231
72	39.5326262
73	39.49531693
74	39.45967254
75	39.43060982
76	39.39282653
77	39.35647952
78	39.31566554
79	39.28248399
80	39.23438183
81	39.19781779
82	39.15840319
83	39.11820275
84	39.09167174
85	39.06329277
86	39.01965467
87	38.99084561
88	38.95029429
89	38.90866672
90	38.87825609
91	38.85178364
92	38.81581461
93	38.77986665
94	38.74229788
95	38.72520737
96	38.70169426
97	38.66255056
98	38.63992597
99	38.59820623
100	38.56233517
101	38.53218287
102	38.50096942
103	38.46236259
104	38.4205944
105	38.37780925
106	38.338532
107	38.30450456
108	38.26905315
109	38.25212523
110	38.21317761
111	38.17094781
112	38.13956165
113	38.09804775
114	38.06377864
115	38.03396632
116	37.99989383
117	37.97725711
118	37.9474942
119	37.92940888
120	37.89408618
121	37.85716154
122	37.85493549
123	37.81584741
124	37.78351225
125	37.74388267
126	37.71806737
127	37.68419677
128	37.65572244
129	37.61969344
130	37.59089257
131	37.55459172
132	37.52064416
133	37.48091595
134	37.45074834
135	37.405367
136	37.37059684
137	37.33816688
138	37.29424005
139	37.27479742
140	37.22723402
141	37.19020484
142	37.16276594
143	37.14200474
144	37.11645682
145	37.08599304
146	37.04536707
147	37.01646811
148	36.98360469
149	36.95163301
150	36.9157101
151	36.88899918
152	36.85813674
153	36.82160152
154	36.77828936
155	36.75703994
156	36.72947693
157	36.72506275
158	36.69211487
159	36.65979132
160	36.62939078
161	36.60686108
162	36.58663698
163	36.56555441
164	36.54018005
165	36.51654345
166	36.4951023
167	36.46568053
168	36.43491426
169	36.4019556
170	36.36797563
171	36.34106585
172	36.32241834
173	36.29778827
174	36.26672163
175	36.23587381
176	36.20612675
177	36.16988138
178	36.14070389
179	36.1154085
180	36.07618983
181	36.0355513
182	36.01449019
183	35.98061028
184	35.952054
185	35.93059573
186	35.89879802
187	35.87332571
188	35.83706724
189	35.80915483
190	35.78106976
191	35.74454055
192	35.71189088
193	35.67911978
194	35.65780809
195	35.62518648
196	35.58771373
197	35.56458601
198	35.52880218
199	35.50609089
200	35.47221916
201	35.45414511
202	35.41679784
